PMS,CLASS,TYPE,FACING,DIA(LOW),DIA(HIGH),RATING,DESIGN_STANDARD,MATERIAL_DESCRIPTION
EIL,D5A,SEAMLESS,PE,1,1.5,XS,B-36.10,ASTM A106 GR.B
EIL,D5A,SEAMLESS,BE,2,2,XS,B-36.10,ASTM A106 GR.B
EIL,D5A,SEAMLESS,BE,3,3,STD,B-36.10,ASTM A106 GR.B
EIL,D5A,SEAMLESS,BE,4,8,XS,B-36.10,ASTM A106 GR.B
EIL,D5A,SEAMLESS,BE,10,14,CALC,B-36.10,ASTM A106 GR.B
EIL,D5A,EFSW,BE,16,24,CALC,B-36.10,ASTM A672 GR.B60 CL.32
EIL,D65A,SEAMLESS,PE,0.5,1.5,S160,B-36.10,ASTM A106 GR.B
EIL,D65A,SEAMLESS,PE,2,2,S160,B-36.10,ASTM A106 GR.B
EIL,D65A,SEAMLESS,BE,3,8,XS,B-36.10,ASTM A106 GR.B
EIL,D65A,SEAMLESS,BE,10,10,S80,B-36.10,ASTM A106 GR.B
EIL,D65A,SEAMLESS,BE,12,14,S60,B-36.10,ASTM A106 GR.B
EIL,D65A,EFSW,BE,16,24,CALC,B-36.10,ASTM A672 GR.B60 CL.32
EIL,D66A,SEAMLESS,PE,0.5,1.5,S160,B-36.10,ASTM A106 GR.B
EIL,D66A,SEAMLESS,BE,2,2,S160,B-36.10,ASTM A106 GR.B
EIL,D66A,SEAMLESS,BE,3,8,XS,B-36.10,ASTM A106 GR.B
EIL,D66A,SEAMLESS,BE,10,14,CALC,B-36.10,ASTM A106 GR.B
EIL,D66A,EFSW,BE,16,24,CALC,B-36.10,ASTM A672 GR.B60 CL.32
EIL,D67A,SEAMLESS,PE,0.5,1.5,S160,B-36.10,ASTM A106 GR.B
EIL,D67A,SEAMLESS,BE,2,2,S160,B-36.10,ASTM A106 GR.B
EIL,D67A,SEAMLESS,BE,3,8,XS,B-36.10,ASTM A106 GR.B
EIL,D67A,SEAMLESS,BE,10,14,CALC,B-36.10,ASTM A106 GR.B
EIL,D67A,EFSW,BE,16,24,CALC,B-36.10,ASTM A672 GR.B60 CL.32
EIL,D9A,SEAMLESS,PE,0.5,1.5,S160,B-36.10,ASTM A106 GR.B
EIL,D9A,SEAMLESS,BE,2,2,S160,B-36.10,ASTM A106 GR.B
EIL,D9A,SEAMLESS,BE,3,8,XS,B-36.10,ASTM A106 GR.B
EIL,D9A,SEAMLESS,BE,10,14,CALC,B-36.10,ASTM A106 GR.B
EIL,D9A,EFSW,BE,16,20,CALC,B-36.10,ASTM A672 GR.B60 CL.12
EIL,D15D,SEAMLESS,PE,0.5,0.75,S160,B-36.10,ASTM A335 GR.P11
EIL,D15D,SEAMLESS,PE,1,1.5,XS,B-36.10,ASTM A335 GR.P11
EIL,D15D,SEAMLESS,BE,2,8,XS,B-36.10,ASTM A335 GR.P11
EIL,D15D,SEAMLESS,BE,12,12,S60,B-36.10,ASTM A335 GR.P11
EIL,D15D,EFSW,BE,16,16,S60,B-36.10,ASTM A691 GR.1.25CR CL.42
EIL,D25D,SEAMLESS,PE,0.5,0.75,S160,B-36.10,ASTM A335 GR.P11
EIL,D25D,SEAMLESS,PE,1,1.5,XS,B-36.10,ASTM A335 GR.P11
EIL,D25D,SEAMLESS,BE,2,8,XS,B-36.10,ASTM A335 GR.P11
EIL,D25D,SEAMLESS,BE,10,14,CALC,B-36.10,ASTM A335 GR.P11
EIL,D25D,EFSW,BE,16,24,CALC,B-36.10,ASTM A691 GR.1.25CR CL.42
EIL,D2D,SEAMLESS,PE,0.5,0.75,S160,B-36.10,ASTM A335 GR.P11
